BTC,Date,Closing Price (USD)
BTC,10/1/2013,123.65499
BTC,10/2/2013,125.455
BTC,10/3/2013,108.58483
BTC,10/4/2013,118.67466
BTC,10/5/2013,121.33866
BTC,10/6/2013,120.65533
BTC,10/7/2013,121.795
BTC,10/8/2013,123.033
BTC,10/9/2013,124.049
BTC,10/10/2013,125.96116
BTC,10/11/2013,125.27966
BTC,10/12/2013,125.9275
BTC,10/13/2013,126.38333
BTC,10/14/2013,135.24199
BTC,10/15/2013,133.20333
BTC,10/16/2013,142.76333
BTC,10/17/2013,137.92333
BTC,10/18/2013,142.95166
BTC,10/19/2013,152.55183
BTC,10/20/2013,160.33883
BTC,10/21/2013,164.31499
BTC,10/22/2013,177.63333
BTC,10/23/2013,188.29716
BTC,10/24/2013,200.70166
BTC,10/25/2013,180.355
BTC,10/26/2013,175.03166
BTC,10/27/2013,177.6965
BTC,10/28/2013,187.15983
BTC,10/29/2013,192.75666
BTC,10/30/2013,197.4
BTC,10/31/2013,196.02499
BTC,11/1/2013,198.04883
BTC,11/2/2013,198.93233
BTC,11/3/2013,200.543
BTC,11/4/2013,210.3075
BTC,11/5/2013,225.02
BTC,11/6/2013,248.25333
BTC,11/7/2013,262.32666
BTC,11/8/2013,294.48699
BTC,11/9/2013,331.10325
BTC,11/10/2013,285.8875
BTC,11/11/2013,304.97974
BTC,11/12/2013,338.137
BTC,11/13/2013,357.48
BTC,11/14/2013,402.954
BTC,11/15/2013,409.10375
BTC,11/16/2013,420.21649
BTC,11/17/2013,437.29725
BTC,11/18/2013,510.6025
BTC,11/19/2013,693.65
BTC,11/20/2013,531.54249
BTC,11/21/2013,574.71599
BTC,11/22/2013,681.33
BTC,11/23/2013,774.18
BTC,11/24/2013,746.19374
BTC,11/25/2013,768.8475
BTC,11/26/2013,789.36475
BTC,11/27/2013,893.1815
BTC,11/28/2013,934.355
BTC,11/29/2013,1068.363
BTC,11/30/2013,1154.92593
BTC,12/1/2013,1099.51926
BTC,12/2/2013,1019.78966
BTC,12/3/2013,1028.845
BTC,12/4/2013,1071.2848
BTC,12/5/2013,1139.33083
BTC,12/6/2013,1004.61633
BTC,12/7/2013,759.43041
BTC,12/8/2013,689.81
BTC,12/9/2013,841.83966
BTC,12/10/2013,916.77599
BTC,12/11/2013,967.42866
BTC,12/12/2013,866.29003
BTC,12/13/2013,911.23204
BTC,12/14/2013,889.81946
BTC,12/15/2013,848.9975
BTC,12/16/2013,868.95316
BTC,12/17/2013,653.80483
BTC,12/18/2013,654.06266
BTC,12/19/2013,553.69166
BTC,12/20/2013,693.05883
BTC,12/21/2013,649.38965
BTC,12/22/2013,595.95883
BTC,12/23/2013,647.68316
BTC,12/24/2013,671.58116
BTC,12/25/2013,659.84333
BTC,12/26/2013,702.00083
BTC,12/27/2013,758.01016
BTC,12/28/2013,734.01166
BTC,12/29/2013,717.92623
BTC,12/30/2013,752.82022
BTC,12/31/2013,744.17249
BTC,1/1/2014,768.40783
BTC,1/2/2014,769.09849
BTC,1/3/2014,804.02719
BTC,1/4/2014,813.31748
BTC,1/5/2014,871.11583
BTC,1/6/2014,970.65083
BTC,1/7/2014,962.46447
BTC,1/8/2014,855.75933
BTC,1/9/2014,860.84166
BTC,1/10/2014,847.5325
BTC,1/11/2014,892.26115
BTC,1/12/2014,916.69666
BTC,1/13/2014,873.27168
BTC,1/14/2014,863.69888
BTC,1/15/2014,853.25666
BTC,1/16/2014,874.07416
BTC,1/17/2014,842.19173
BTC,1/18/2014,834.86666
BTC,1/19/2014,838.42916
BTC,1/20/2014,881.87583
BTC,1/21/2014,873.28916
BTC,1/22/2014,874.13266
BTC,1/23/2014,864.56116
BTC,1/24/2014,838.14997
BTC,1/25/2014,834.57416
BTC,1/26/2014,858.12641
BTC,1/27/2014,887.08337
BTC,1/28/2014,830.53133
BTC,1/29/2014,832.89496
BTC,1/30/2014,832.87399
BTC,1/31/2014,841.48914
BTC,2/1/2014,847.36383
BTC,2/2/2014,854.7225
BTC,2/3/2014,856.03366
BTC,2/4/2014,847.70697
BTC,2/5/2014,844.28836
BTC,2/6/2014,802.75333
BTC,2/7/2014,748.43559
BTC,2/8/2014,692.66914
BTC,2/9/2014,668.86463
BTC,2/10/2014,700.44843
BTC,2/11/2014,694.3125
BTC,2/12/2014,665.7975
BTC,2/13/2014,645.615
BTC,2/14/2014,578.4125
BTC,2/15/2014,641.91
BTC,2/16/2014,656.2725
BTC,2/17/2014,611.04499
BTC,2/18/2014,634.99
BTC,2/19/2014,618.79
BTC,2/20/2014,619.8425
BTC,2/21/2014,545.7625
BTC,2/22/2014,561.535
BTC,2/23/2014,622.22
BTC,2/24/2014,572.7675
BTC,2/25/2014,501.155
BTC,2/26/2014,550.6025
BTC,2/27/2014,573.1025
BTC,2/28/2014,567.2925
BTC,3/1/2014,551.73
BTC,3/2/2014,560.195
BTC,3/3/2014,567.7
BTC,3/4/2014,666.1475
BTC,3/5/2014,660.84
BTC,3/6/2014,662.0225
BTC,3/7/2014,651.285
BTC,3/8/2014,612.33
BTC,3/9/2014,611.1625
BTC,3/10/2014,637.615
BTC,3/11/2014,626
BTC,3/12/2014,633.74749
BTC,3/13/2014,631.755
BTC,3/14/2014,636.41414
BTC,3/15/2014,628.18751
BTC,3/16/2014,632.95333
BTC,3/17/2014,630.34833
BTC,3/18/2014,617.24333
BTC,3/19/2014,616.86665
BTC,3/20/2014,601.015
BTC,3/21/2014,581.33333
BTC,3/22/2014,570.36168
BTC,3/23/2014,562.95333
BTC,3/24/2014,557.16833
BTC,3/25/2014,573.34998
BTC,3/26/2014,572.49161
BTC,3/27/2014,570.54833
BTC,3/28/2014,509.70665
BTC,3/29/2014,499.24998
BTC,3/30/2014,486.80845
BTC,3/31/2014,472.4783
BTC,4/1/2014,464.88
BTC,4/2/2014,480.16581
BTC,4/3/2014,427.87498
BTC,4/4/2014,432.99716
BTC,4/5/2014,453.87148
BTC,4/6/2014,462.445
BTC,4/7/2014,456.46948
BTC,4/8/2014,452.81
BTC,4/9/2014,450.48083
BTC,4/10/2014,426.98333
BTC,4/11/2014,374.59166
BTC,4/12/2014,438.24666
BTC,4/13/2014,423.51566
BTC,4/14/2014,409.03166
BTC,4/15/2014,455.28316
BTC,4/16/2014,517.09666
BTC,4/17/2014,522.455
BTC,4/18/2014,490.8785
BTC,4/19/2014,469.38332
BTC,4/20/2014,507.80663
BTC,4/21/2014,505.09665
BTC,4/22/2014,497.65001
BTC,4/23/2014,487.84
BTC,4/24/2014,487.11333
BTC,4/25/2014,469.08816
BTC,4/26/2014,448.77834
BTC,4/27/2014,452.14829
